kanji,count
嬢,22
鳩,22
聡,22
朗,22
隙,22
窃,22
錯,22
痒,22
舗,22
冠,22
唐,22
瀕,22
舟,22
凶,22
虜,22
轢,21
肖,21
柵,21
鹸,21
甥,21
乙,21
疾,21
瓜,21
栗,21
幌,21
瞳,21
昭,21
湧,21
摩,21
懇,21
遥,20
宜,20
爽,20
壮,20
膜,20
葡,20
迅,20
潤,20
蓋,20
憾,20
祥,20
塾,20
牡,20
旺,20
斗,20
殊,20
戯,20
娯,20
騎,20
肪,20
畜,20
綱,20
刃,20
賑,20
舐,20
埃,20
軸,20
禎,20
淋,19
彙,19
循,19
慨,19
箋,19
秩,19
葵,19
旋,19
勿,19
萄,19
邸,19
亜,19
羅,19
慶,19
忌,19
耕,19
把,19
碁,19
孝,19
恨,18
訟,18
須,18
拘,18
挿,18
馳,18
淹,18
漕,18
滝,18
掌,18
槽,18
践,18
亀,18
殖,18
某,18
遮,18
抹,18
憤,17
阿,17
屁,17
倹,17
呈,17
蛍,17
茎,17
凧,17
勃,17
遍,17
怯,17
酢,17
据,17
戴,17
冥,17
溝,17
枠,17
肘,17
艦,17
拐,16
雌,16
尺,16
諺,16
蛮,16
錆,16
壌,16
庶,16
殆,16
暦,16
噌,16
醤,16
呑,16
丹,16
晶,16
讐,16
痺,16
瞭,16
煎,16
措,15
茹,15
濫,15
披,15
喚,15
賜,15
苔,15
粛,15
墨,15
斤,15
顎,15
詠,15
訣,15
稽,15
禍,15
尚,15
啓,14
喪,14
濁,14
氾,14
逢,14
箇,14
賠,14
絆,14
訛,14
采,14
渦,14
肯,14
吊,14
呪,14
蘇,14
岐,14
彰,14
智,14
痕,14
拉,14
蛙,14
棟,14
饉,14
班,14
扶,14
鯉,14
媒,14
叙,14
董,13
綾,13
喝,13
云,13
雛,13
喘,13
唾,13
蟹,13
閑,13
甚,13
姑,13
潟,13
揉,13
詣,13
堤,13
垢,13
匠,13
朽,12
綻,12
玩,12
搾,12
矯,12
譜,12
覇,12
麓,12
疱,12
瘡,12
躊,12
躇,12
襟,12
慕,12
汝,12
弄,12
貞,12
碗,12
亭,12
捉,12
骸,12
髄,12
痢,12
妃,12
暫,12
頷,11
芳,11
撫,11
晦,11
閲,11
搬,11
籠,11
柿,11
吾,11
爺,11
宵,11
蠣,11
杏,11
巾,11
只,11
隻,11
琵,11
琶,11
蓮,11
弦,11
妄,11
穂,11
岳,11
墳,11
辿,11
這,11
薪,11
弧,11
衡,11
淑,11
餐,11
堵,11
丼,11
陪,11
吃,11
憑,10
嘲,10
檻,10
篤,10
奔,10
緯,10
峰,10
龍,10
仇,10
仔,10
鷲,10
窒,10
蝋,10
燭,10
膳,10
紺,10
胴,10
閥,10
鮭,10
酵,10
堕,10
擬,10
礁,10
爵,10
卸,9
轄,9
款,9
愁,9
剛,9
鞘,9
胎,9
厨,9
桁,9
槌,9
凹,9
癇,9
癪,9
槍,9
樫,9
冴,9
錬,9
睦,9
陛,9
瓦,9
串,9
拷,9
婿,9
謡,9
侍,9
遷,9
墟,9
睨,9
柳,9
乃,9
悼,9
瘍,9
錦,9
唆,9
奢,9
鞭,8
坐,8
烏,8
浦,8
眩,8
柑,8
畏,8
狸,8
梗,8
斬,8
罹,8
踪,8
埠,8
蝙,8
蝠,8
韻,8
袈,8
裟,8
紡,8
瑠,8
詮,8
仁,8
罵,8
迦,8
此,8
筈,8
牢,8
砦,8
昏,8
洒,8
赴,8
畔,8
翔,8
鷹,8
梁,8
賓,8
孔,8
塵,8
撒,8
貪,8
珈,8
琲,8
蒼,8
桑,8
枢,8
篠,8
呵,7
鎌,7
累,7
勲,7
遜,7
鵜,7
或,7
莉,7
狗,7
悶,7
藪,7
裾,7
轟,7
蒔,7
吟,7
喰,7
藁,7
疹,7
璃,7
峠,7
膏,7
該,7
曽,7
弥,7
駒,7
楼,7
岬,7
唖,7
茸,7
沃,7
棲,7
牙,7
埼,7
駿,7
漱,7
尉,7
萌,7
逝,7
宰,7
之,7
椎,7
俵,7
菅,7
茜,7
猶,7
拗,6
迂,6
膿,6
鋳,6
彗,6
寡,6
壷,6
鞍,6
躾,6
硫,6
棘,6
獅,6
椒,6
泰,6
縞,6
也,6
咎,6
稀,6
煽,6
泌,6
竿,6
絨,6
毯,6
逐,6
苑,6
焚,6
雹,6
哉,6
匿,6
蘭,6
塚,6
撥,6
菊,6
賽,6
嬌,6
迄,6
庸,6
漸,6
脆,6
艇,6
僅,6
腺,6
厭,6
倣,6
悠,6
蔽,6
謹,6
勾,6
靖,6
曾,6
醸,6
頁,6
漆,6
憐,6
唄,6
剖,6
郡,5
蟻,5
廉,5
坦,5
朱,5
啄,5
侶,5
偲,5
囁,5
鯛,5
附,5
卿,5
橘,5
隆,5
晒,5
屍,5
囀,5
鴨,5
剪,5
瞑,5
埒,5
姜,5
喩,5
蝿,5
凪,5
唸,5
仄,5
姦,5
杭,5
倦,5
鎧,5
捏,5
痘,5
佳,5
曰,5
尖,5
挽,5
孵,5
箪,5
柴,5
汲,5
琴,5
梓,5
茨,5
藩,5
訝,5
暁,5
辻,5
隈,5
糾,5
娼,5
袴,5
阜,5
姻,5
諭,5
鮫,5
嘔,5
歪,5
餃,5
芥,5
其,5
舶,5
堀,5
錐,5
礫,5
准,5
鰐,5
弔,5
諒,5
亮,5
彦,4
謳,4
虔,4
洩,4
贔,4
屓,4
閃,4
膀,4
胱,4
颯,4
纏,4
汎,4
凸,4
捌,4
酎,4
誹,4
謗,4
藍,4
躓,4
秤,4
伐,4
藻,4
釧,4
蕩,4
鰻,4
熾,4
罷,4
浩,4
慇,4
懃,4
毅,4
鋤,4
伍,4
穿,4
煉,4
貶,4
窪,4
桟,4
呉,4
嵌,4
豹,4
蕎,4
遡,4
驕,4
呟,4
笥,4
扮,4
逞,4
糊,4
洲,4
楊,4
擢,4
皺,4
嗜,4
凛,4
茄,4
憊,4
蒲,4
飄,4
狽,4
爬,4
杉,4
褪,4
憚,4
恭,4
碇,4
梱,4
耽,4
萎,4
斧,4
遽,4
几,4
鄙,4
后,4
朴,4
媚,4
滋,4
駁,4
葛,4
栃,4
弘,4
醍,4
醐,4
愕,4
逼,4
虻,4
艘,4
輔,4
陵,4
帥,4
瑛,4
遼,4
漣,4
渾,3
啖,3
贋,3
尼,3
憺,3
匙,3
玲,3
桶,3
嵩,3
墾,3
笠,3
紗,3
椀,3
捗,3
蠅,3
套,3
蛾,3
來,3
衷,3
煌,3
腎,3
橙,3
朕,3
魃,3
嚢,3
昌,3
雉,3
牽,3
